DATE,SPCS20RSA_20190326,SPCS20RSA_20190430
2017-12-01,205.85683147284698,205.896186820672
2018-01-01,207.258513943508,207.31726376777303
2018-02-01,209.168609742874,208.785256759563
2018-03-01,210.771469100286,210.85794595266202
2018-04-01,210.35158294476298,210.39437272627399
2018-05-01,210.858879610534,210.883718244763
2018-06-01,211.30480004896302,211.324396545175
2018-07-01,211.59507332330298,211.60752925747397
2018-08-01,211.099884165183,211.112327786207
2018-09-01,212.66876375783403,212.68155661947398
2018-10-01,213.475512037786,213.479024242584
2018-11-01,213.97056081118302,213.94458433374402
2018-12-01,214.339394739982,214.311402320529
2019-01-01,214.573482671659,214.506651819387
2019-02-01,.,214.927763603927
