period,CS_Index,1yr Prediction
2011-October,138.65212144174,144.25122075833997
2011-November,137.934624024611,143.17543680475137
2011-December,137.365304819237,143.07729488053891
2012-January,137.14298545671102,145.33788588458953
2012-February,137.01723595344401,145.14330302130546
2012-March,136.647413597237,145.5563102224959
2012-April,137.889395802844,147.25468237503938
2012-May,139.458379923468,143.20623504001676
2012-June,141.01816221167,142.17572754403574
2012-July,141.956200466348,143.7654698368585
2012-August,142.917358248111,143.21506341321904
2012-September,143.816953925505,146.47581531472179
2012-October,144.79575782792298,149.82833038053766
2012-November,145.799303015636,147.56466092072026
2012-December,147.099179548642,149.63718368138987
2013-January,148.324657868007,151.73899038861754
2013-February,149.598046678454,156.9865735030001
2013-March,151.04414603254,158.1687340238449
2013-April,153.881233456894,155.2170320087761
2013-May,156.017242079509,155.66289149744125
2013-June,157.8321027922,153.65426637579063
2013-July,159.59351092244802,154.24100050266142
2013-August,161.447965873236,156.8861247505347
2013-September,163.272645120912,160.0214192572797
2013-October,164.792607508656,162.55217017124772
2013-November,166.002848239766,162.04837798916478
2013-December,166.90193434731302,163.00363070759042
2014-January,167.839566556171,156.19426441009495
2014-February,168.50797462966102,171.63606205759766
2014-March,169.389643355758,171.3749969218977
2014-April,169.958237384263,171.73261660685233
2014-May,170.244969899236,169.03995368627056
2014-June,170.530467202785,168.60715193580066
2014-July,170.61707513943702,161.2054297748757
2014-August,170.727411655129,160.1876197665096
2014-September,171.45717939341998,164.6690188508412
2014-October,172.388098724617,169.1248037112212
2014-November,173.164191541506,169.07259351293408
2014-December,174.202409482991,168.5203827131187
2015-January,175.03053543730599,172.51149908343172
2015-February,176.311923546211,174.853277488756
2015-March,177.379574285904,176.58971034917545
2015-April,177.745371825982,175.9439694875977
2015-May,178.294522850319,176.24234685688833
2015-June,178.826829754854,171.72626189381933
2015-July,179.34181134224602,170.38289766904495
2015-August,179.579180300201,173.0725894187673
2015-September,180.87851943619802,176.8602794748997
2015-October,181.892354702837,178.55707063045853
2015-November,183.00257005956001,176.0196326971087
2015-December,183.85613341456403,179.16959841432012
2016-January,184.671856973107,186.0243976918147
2016-February,185.355023613804,190.4813806234131
2016-March,186.780497172633,189.2369159053311
2016-April,187.002369049523,188.9773744452665
2016-May,187.457575743483,186.9276819016717
2016-June,188.04395379621602,183.56085770788954
2016-July,188.648937282627,183.42498511443625
2016-August,188.88704106628003,184.32020804393966
2016-September,190.28103043059104,183.785998767016
2016-October,191.214660514607,188.30112270624312
2016-November,192.465854577366,187.71024607269678
2016-December,193.779973202243,188.1487576516976
2017-January,195.020530248766,192.5501382138356
2017-February,195.87963818404998,197.3783169298884
2017-March,197.62466579998198,200.4039688792952
2017-April,197.444841252162,201.71773758832938
2017-May,198.12661686107498,199.57042634252497
2017-June,198.725570828245,196.36044139145878
2017-July,199.76036652889096,201.15597367981002
2017-August,199.98458559308102,197.93466825309557
2017-September,202.13316163329603,200.15488543228193
2017-October,203.357326314045,202.8485696417398
2017-November,204.695198008587,199.75671359900332
2017-December,205.896186820672,198.54987511827383
2018-January,207.31726376777303,203.40148296463826
2018-February,208.785256759563,208.01961359574543
2018-March,210.85794595266202,214.74418646752602
2018-April,210.39437272627399,211.5999154632151
2018-May,210.883718244763,212.0631605449526
2018-June,211.324396545175,208.85090334336036
2018-July,211.60752925747397,206.18868323314814
2018-August,211.112327786207,206.13132510657607
2018-September,212.68155661947398,212.8349649525151
2018-October,213.479024242584,214.51280240032844
