"Financial obligations ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted",Year,Month
17.057136,6.341257,12.063345,5.722088,2000,October
17.086894666666666,6.376528666666666,12.095893333333333,5.719364666666666,2000,November
17.116653333333335,6.411800333333334,12.128441666666667,5.7166413333333335,2000,December
17.146412,6.447072,12.16099,5.713918,2001,January
17.237456,6.496076,12.235284333333333,5.739208333333333,2001,February
17.3285,6.54508,12.309578666666667,5.764498666666666,2001,March
17.419544,6.594084,12.383873,5.789789,2001,April
17.379143,6.582852,12.363738,5.780886,2001,May
17.338742,6.571619999999999,12.343603,5.7719830000000005,2001,June
17.298341,6.560388,12.323468,5.76308,2001,July
17.432742,6.611002666666667,12.423265,5.812262333333334,2001,August
17.567142999999998,6.661617333333333,12.523062,5.861444666666666,2001,September
17.701544,6.712232,12.622859,5.910627,2001,October
17.603465999999997,6.68044,12.554139666666666,5.873699666666667,2001,November
17.505388,6.648648000000001,12.485420333333334,5.836772333333333,2001,December
17.40731,6.616856,12.416701,5.799845,2002,January
17.363493666666667,6.599975333333334,12.389924333333333,5.789948666666667,2002,February
17.31967733333333,6.583094666666667,12.363147666666666,5.780052333333334,2002,March
17.275861,6.566214,12.336371,5.770156,2002,April
17.285561333333334,6.563893333333334,12.349998666666666,5.786105,2002,May
17.295261666666665,6.561572666666667,12.363626333333334,5.802054,2002,June
17.304962,6.559252,12.377254,5.818003,2002,July
17.278429666666668,6.54034,12.367144666666666,5.826805,2002,August
17.251897333333332,6.521428,12.357035333333334,5.8356069999999995,2002,September
17.225365,6.502516,12.346926,5.844409,2002,October
17.20951,6.493547333333333,12.346575333333334,5.853027333333333,2002,November
17.193655,6.484578666666667,12.346224666666666,5.861645666666666,2002,December
17.1778,6.47561,12.345874,5.870264,2003,January
17.137393333333335,6.463511333333333,12.326080666666666,5.862569333333333,2003,February
17.096986666666666,6.451412666666667,12.306287333333334,5.8548746666666664,2003,March
17.05658,6.439314,12.286494,5.84718,2003,April
16.978105,6.411617000000001,12.237153,5.825536,2003,May
16.899630000000002,6.38392,12.187812,5.803892,2003,June
16.821155,6.356223,12.138471,5.782248,2003,July
16.847793333333335,6.361191666666667,12.163870666666666,5.802679,2003,August
16.874431666666666,6.366160333333333,12.189270333333333,5.82311,2003,September
16.90107,6.371129,12.21467,5.843541,2003,October
16.894782,6.368589666666667,12.213158333333332,5.8445686666666665,2003,November
16.888494,6.366050333333333,12.211646666666667,5.845596333333334,2003,December
16.882206,6.363511,12.210135,5.846624,2004,January
16.847496333333332,6.3402606666666665,12.184099333333332,5.843839,2004,February
16.812786666666668,6.317010333333333,12.158063666666667,5.841054000000001,2004,March
16.778077,6.29376,12.132028,5.838269,2004,April
16.817817333333334,6.300864333333333,12.169613,5.868749666666667,2004,May
16.857557666666665,6.307968666666667,12.207198,5.899230333333334,2004,June
16.897298,6.315073,12.244783,5.929711,2004,July
16.880463,6.28929,12.242261333333333,5.952972333333333,2004,August
16.863628000000002,6.263507,12.239739666666667,5.9762336666666664,2004,September
16.846793,6.237724,12.237218,5.999495,2004,October
16.983867,6.2640476666666665,12.344422666666667,6.080375666666666,2004,November
17.120941000000002,6.290371333333334,12.451627333333334,6.161256333333333,2004,December
17.258015,6.316695,12.558832,6.242137,2005,January
17.256586666666667,6.300041,12.559231,6.259189666666666,2005,February
17.255158333333334,6.283387,12.55963,6.276242333333333,2005,March
17.25373,6.266733,12.560029,6.293295,2005,April
17.274707666666668,6.2444413333333335,12.580347666666666,6.335905666666666,2005,May
17.29568533333333,6.222149666666667,12.600666333333333,6.378516333333334,2005,June
17.316663,6.199858,12.620985,6.421127,2005,July
17.299082666666667,6.167726666666667,12.611121666666666,6.443395333333333,2005,August
17.281502333333332,6.135595333333333,12.601258333333334,6.465663666666667,2005,September
17.263922,6.103464,12.591395,6.487932,2005,October
17.258883,6.097391333333333,12.597131333333333,6.499740666666667,2005,November
17.253844,6.091318666666666,12.602867666666667,6.511549333333333,2005,December
17.248805,6.085246,12.608604,6.523358,2006,January
17.287539666666667,6.049968,12.633443,6.583475,2006,February
17.326274333333334,6.01469,12.658282,6.643592,2006,March
17.365009,5.979412,12.683121,6.703709,2006,April
17.418324000000002,5.964447333333333,12.718022666666666,6.753575333333333,2006,May
17.471639,5.9494826666666665,12.752924333333334,6.803441666666667,2006,June
17.524954,5.934518,12.787826,6.853308,2006,July
17.571830333333335,5.9295626666666665,12.815119000000001,6.885556333333334,2006,August
17.618706666666668,5.924607333333333,12.842412,6.917804666666666,2006,September
17.665583,5.919652,12.869705,6.950053,2006,October
17.677445666666667,5.914672333333334,12.873610666666666,6.958938333333333,2006,November
17.689308333333333,5.9096926666666665,12.877516333333334,6.967823666666666,2006,December
17.701171,5.904713,12.881422,6.976709,2007,January
17.74223033333333,5.914981,12.906503666666667,6.9915226666666666,2007,February
17.78328966666667,5.925249,12.931585333333333,7.006336333333333,2007,March
17.824349,5.935517,12.956667,7.02115,2007,April
17.879156666666667,5.948960333333333,12.996703666666667,7.047743333333333,2007,May
