1M,4M,7M,13M,period
140.39434090838608,143.93208177435952,148.1491794662102,157.2751210800112,2012-May
141.64561663854934,144.36569738614438,147.66633235365578,155.02695411465524,2012-June
142.56726886624156,145.2155888471181,148.410690467811,155.55368601989974,2012-July
143.65317667068467,146.7168713171354,150.3443539470172,158.28458078102375,2012-August
144.72280019572509,148.35796592887928,152.55643515235508,161.5260332806089,2012-September
145.8111326363173,149.84292573802864,154.44686821328284,164.14231071794433,2012-October
146.7347075761173,150.37169353600967,154.56997641748407,163.51996871187424,2012-November
148.05965699697944,151.60474664677994,155.69073264130716,164.40587515254046,2012-December
148.59528817583004,150.21949624574185,152.3116030953328,157.2261704499389,2013-January
151.15721658287518,156.22006668983497,161.89763168039246,173.3920277072932,2013-February
152.43459308538854,157.1327558409946,162.4412213312716,173.1191601226919,2013-March
155.04068636378474,159.2704586658382,163.95496732828957,173.2817842213598,2013-April
156.75194731440237,159.84025715930116,163.2942625574005,170.29194614992863,2013-May
158.35820133686224,160.9835050612766,163.89334384180603,169.73933613549173,2013-June
159.31151823956336,159.70116076661907,160.23802391158944,161.75463836441313,2013-July
160.91761877848933,160.6717022804385,160.4553331853078,160.5038474763347,2013-August
162.99928797654343,163.4328192458233,163.8722023750099,165.065588700748,2013-September
164.78385458049706,166.0159377672632,167.2140995363233,169.65808358355747,2013-October
165.8777490292947,166.83571517340607,167.6789253456572,169.45697492827878,2013-November
166.63792508566524,167.255123494811,167.73854347620986,168.8294254056018,2013-December
167.8431348758395,169.21929018955348,170.49479464776638,172.99731362946116,2014-January
168.65994094243734,170.44917184882567,172.16981007581643,175.45455444341977,2014-February
169.6084018385552,171.65641798860707,173.62385223002937,177.26237059289005,2014-March
170.06335463869664,171.8256483810975,173.49574904024556,176.5622795622192,2014-April
170.337215001402,172.1383417729563,173.8472414426485,176.90854928011575,2014-May
170.19593986383947,170.77886899893028,171.26471172224214,172.14398543758577,2014-June
170.1585027186895,170.34271013954069,170.46490987558215,170.73971589687233,2014-July
170.50726661292362,171.27812614052345,172.07111614874947,173.60677872786545,2014-August
171.51691108012332,173.057290397896,174.61458807337925,177.52155371432906,2014-September
172.52462524067704,174.24542127916982,176.0131087165535,179.2794597790706,2014-October
173.03060688410488,173.89182876937323,174.77726185776933,176.50574539584906,2014-November
174.2713346011893,175.653734833497,177.10672133875056,179.80953767418683,2014-December
175.65355230429847,178.53804630475787,181.5166748091849,186.95814692042453,2015-January
177.22096784762869,180.9111130756848,184.74247353087102,191.64051813942555,2015-February
178.07788992443867,181.24912965408038,184.50664770600304,190.27118313773448,2015-March
178.38313865893323,181.40724797332706,184.53385441497068,190.02137446809544,2015-April
178.70702131078215,181.0743404025446,183.55557330339775,187.86101284581602,2015-May
178.899312222563,180.28605990529758,181.77899477050374,184.29501792313485,2015-June
